system:index,LST_C,Latitude,Longitude,NDVI,.geo,Humidity,Predicted_Temperature,LST_norm,NDVI_norm,Humidity_norm,UTEI
000000000000000004e3_0,34.285000000000025,12.805439459359572,79.9018656716444,-0.015246015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90065294601084,12.805484375123779]}",60,37.31840943703041,0.8022344747533343,0.1912596485425225,0.0,0.6109748262108118
00000000000000000247_0,36.55666666666673,12.995612805007676,80.18088239889192,0.1364366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,12.994130584788879]}",60,36.36591164574431,1.0,0.3895791563410268,0.0,0.6104208436589732
000000000000000008a9_0,34.79000000000002,12.973514249018336,80.21313191759181,0.01893439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.976164279106488]}",60,37.10337675455588,0.8461984910040594,0.23594928615164162,0.0,0.6102492048524177
0000000000000000012e_0,34.43000000000001,13.119310819630934,80.21582686344418,-0.004044944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,13.119894724565611]}",60,37.24676854790135,0.8148578061520557,0.205904641889559,0.0,0.6089531642624967
00000000000000000638_0,34.26000000000005,13.029209796633744,80.17082126770978,-0.015262515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,13.03006319615366]}",60,37.31709519088311,0.8000580383052807,0.191238075392042,0.0,0.6088199629132387
000000000000000012b4_0,33.650000000000034,13.051128689566262,80.13902090665195,-0.054456204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14319807272311,13.04802950183605]}",60,37.561895249553004,0.74695298897272,0.13999375110815715,0.0,0.6069592378645629
00000000000000000704_0,33.81,13.064872913413293,80.15312445661263,-0.043195065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,13.06599580751844]}",60,37.49068483884026,0.7608821822402736,0.15471728118265213,0.0,0.6061649010576214
00000000000000000e97_0,34.78333333333336,13.11311244417051,80.25391543149084,0.021821631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25099590681745,13.110911571724417]}",60,37.082387479557134,0.8456181079512453,0.23972424885264504,0.0,0.6058938590986003
00000000000000000967_0,34.58000000000004,13.149314550120526,80.23675760956415,0.009355787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23302960113507,13.146844183089197]}",60,37.159714199869185,0.8279164248403932,0.22342561076301995,0.0,0.6044908140773733
00000000000000000a2b_0,34.35000000000002,13.00774006134329,80.19336898134118,-0.0017316018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,13.01209689047127]}",60,37.225674847983946,0.8078932095182791,0.20892925276189603,0.0,0.5989639567563831
0000000000000000108a_0,34.30000000000001,13.074395055424958,80.19714190553448,-0.002927868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,13.074978960359635]}",60,37.231349056244525,0.8035403366221665,0.20736517817114622,0.0,0.5961751584510203
00000000000000000c77_0,33.436666666666724,13.0837375343798,80.16390424002206,-0.060322516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,13.083962113200831]}",60,37.591545639999445,0.7283807312826465,0.1323237613177487,0.0,0.5960569699648978
0000000000000000058c_0,34.78000000000003,13.069813647475948,80.18761976352282,0.02973301,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18811383692909,13.06599580751844]}",60,37.02572983819089,0.845327916424838,0.25006808943903935,0.0,0.5952598269857986
