system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000000e1e_0,31.05857142857144,12.80669710075734,79.9837920255561,0.38633376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.805484375123779]}"
00000000000000000f7f_0,32.56142857142862,12.806876763814165,79.93393552728746,0.43953714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93658555737562,12.805484375123779]}"
000000000000000008f5_0,30.147500000000036,12.8071462583994,80.16893480561313,0.35379368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,12.805484375123779]}"
000000000000000004ec_0,31.83000000000004,12.807236089927812,80.11135279590107,0.40077546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.805484375123779]}"
000000000000000007b1_0,30.310000000000002,12.807236089927812,80.13291236271994,0.38888428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13421491988191,12.805484375123779]}"
00000000000000000aad_0,31.29857142857145,12.807236089927812,79.99097854782906,0.4447938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9904844744228,12.805484375123779]}"
00000000000000000de4_0,33.04333333333335,12.807236089927812,79.86826868001833,0.43739837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86472033464607,12.805484375123779]}"
000000000000000001c3_0,30.310000000000002,12.807415752984635,80.1325530366063,0.32282996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13421491988191,12.805484375123779]}"
000000000000000005b2_0,31.83000000000004,12.807415752984635,80.11072397520219,0.42041385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.805484375123779]}"
00000000000000000dbc_0,31.167142857142892,12.807415752984635,80.06751501003603,0.3085667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.07133284999355,12.805484375123779]}"
00000000000000000eee_0,30.53000000000003,12.807415752984635,80.2310982232742,0.19579752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23302960113507,12.805484375123779]}"
00000000000000000504_0,31.08000000000004,12.80759541604146,80.12051561179909,0.32493842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11624861419953,12.805484375123779]}"
00000000000000000c8d_0,30.978571428571456,12.807954742155108,80.05835219413802,0.35694557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06234969715236,12.805484375123779]}"
000000000000000003a7_0,32.0214285714286,12.80804457368352,79.94714076196402,0.30881894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94556871021682,12.805484375123779]}"
000000000000000009f1_0,32.05800000000005,12.808224236740344,79.80323065344808,0.39635158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80183826475769,12.805484375123779]}"
